# MoRTH national road-accident distribution by 3-hour time interval, 2024.
#
# Source : Ministry of Road Transport & Highways (MoRTH), Transport Research Wing,
#          "Road Accidents in India 2024".
# Table  : Table 7.3 - "Number of road accidents by time interval of day during 2020-2024",
#          printed page 98 (physical PDF page 142). The 2024 column is transcribed here.
#          Chart 7.4 on the same page is a visual restatement of this column's percentage shares.
# Scope  : NATIONAL aggregate for India. This is NOT State/UT-specific and is NOT tourist-specific.
#          Architecture v3.2 Section 29 defines this feature as "MoRTH, national % share by
#          3-hour band"; Section 50.1 confirms MoRTH provides time-of-day only as 3-hour
#          interval bands aggregated nationally per year.
# Time    : Times of occurrence are Indian local time (IST, UTC+05:30) - the single civil
#          time zone for all of India. Band lookup must therefore resolve the current instant
#          in Asia/Kolkata, not UTC.
#
# Published cross-checks (verified against the PDF):
#   the eight interval rows below sum to 4,81,589 accidents;
#   adding the separate "Unknown Time" row (6,118 accidents, 1.3%) gives the published
#   Total 24 hrs of 4,87,707 accidents.
#
# "Unknown Time" is deliberately NOT a row in this file. It is a data-completeness bucket,
# not a time interval, so no current instant can ever fall into it.
#
# published_share_percent is the value printed in Table 7.3 and is retained for provenance
# and audit only. The normalized feature is computed from accidents_2024, because the
# published shares are rounded to one decimal place; relative-maximum normalization over
# counts is algebraically the same quantity, since the common total cancels:
#   (c_i / T) / (c_max / T) == c_i / c_max
#
start_hour,end_hour,accidents_2024,published_share_percent,day_night
0,3,25001,5.1,Night
3,6,23398,4.8,Night
6,9,49395,10.1,Day
9,12,68287,14.0,Day
12,15,71386,14.6,Day
15,18,85010,17.4,Day
18,21,102897,21.1,Night
21,24,56215,11.5,Night
