# GeoShield Emergency Service Centers Reference Dataset (India-wide OSM-Mapped)
# Source: OpenStreetMap contributors via Humanitarian OpenStreetMap Team (HOT) / Geofabrik (medical, police, fire) & Overpass API (police supplementation only)
# License: Open Data Commons Open Database License (ODbL) 1.0 (https://opendatacommons.org/licenses/odbl/)
# Attribution: (c) OpenStreetMap contributors
# Extraction Date: 2026-09-18T21:00:00Z
# Geographic Scope: India-wide sovereign territory across all 36 States and Union Territories
# Geometry Validation: Point-in-polygon validated against official Survey of India / CGAZ state boundaries
# Categories: MEDICAL (amenity=hospital), RESPONSE_UNIT (amenity=police), FIRE (amenity=fire_station)
# Filtering: Named facilities only; valid coordinates strictly within Indian territory; deduplicated by OSM element ID and 10m spatial proximity
# Coordinate Reference System: WGS84 (EPSG:4326) Decimal Degrees
source_id,name,center_type,latitude,longitude,city,state,phone_number
osm-node-832768798,Krishna Nursing Home,MEDICAL,11.0152327,76.9593766,Coimbatore,Tamil Nadu,
osm-node-6936361589,Seesha Karunya Community Hospital,MEDICAL,11.0160619,76.9593814,Coimbatore,Tamil Nadu,
osm-node-832767566,"Ganga Medical Centre and Hospitals Pvt. Ltd ,Ramnagar",MEDICAL,11.0158724,76.9594235,Coimbatore,Tamil Nadu,
osm-node-6936443894,"Sankara Eye Hospital, Coimbatore",MEDICAL,11.0133673,76.9553728,Coimbatore,Tamil Nadu,
osm-node-7844131974,N R Hospital,MEDICAL,11.0112326,76.9548289,Coimbatore,Tamil Nadu,
osm-node-7257183906,Ponnaiah Hospital,MEDICAL,11.0108047,76.9530054,Coimbatore,Tamil Nadu,
osm-node-1464278789,Coimbatore Bone and Joint Foundation (P) Ltd.,MEDICAL,11.0149404,76.9543844,Coimbatore,Tamil Nadu,
osm-node-4379089793,"Lotus Eye Care Hospital, Coimbatore",MEDICAL,11.0140006,76.9543624,Coimbatore,Tamil Nadu,
osm-node-343436821,Sengaliappan Nursing Home,MEDICAL,11.0165542,76.955239,Coimbatore,Tamil Nadu,
osm-node-4315800697,Aravind Eye Hospital (City Centre),MEDICAL,11.0153158,76.9539881,Coimbatore,Tamil Nadu,
osm-node-7257183971,"Sengottaiah Hospital, Coimbatore",MEDICAL,11.0225148,76.9601579,Coimbatore,Tamil Nadu,
osm-node-7844131982,Sathya Medical Centre & Hospital,MEDICAL,11.0238937,76.9582121,Coimbatore,Tamil Nadu,
osm-node-4407829092,BKR Heart Center,MEDICAL,11.0248424,76.9564023,Coimbatore,Tamil Nadu,
osm-node-5774631561,Eye Trust Hospital,MEDICAL,11.0242987,76.9582327,Coimbatore,Tamil Nadu,
osm-node-1466917439,"Womens Medical Centre, Coimbatore",MEDICAL,11.0337824,76.9517175,Coimbatore,Tamil Nadu,
osm-node-7210924997,Dr. BRJ Ortho Centre,MEDICAL,11.0340354,76.9512209,Coimbatore,Tamil Nadu,
